csafp,cbsafp,geoid,name,lsad,name_short,lat,lon
NA,29700,29700,"Laredo, TX",M1,Laredo,27.7607987,-99.3407518
238,29740,29740,"Las Cruces, NM",M1,Las Cruces,32.349919,-106.8349684
106,29780,29780,"Las Vegas, NM",M2,Las Vegas,35.6440668,-104.8630266
332,29820,29820,"Las Vegas-Henderson-Paradise, NV",M1,Las Vegas,36.2142575,-115.013812
279,29860,29860,"Laurel, MS",M2,Laurel,31.8254653,-89.1480537
246,29900,29900,"Laurinburg, NC",M2,Laurinburg,34.8400226,-79.4773366
NA,30020,30020,"Lawton, OK",M1,Lawton,34.5291104,-98.4309172
NA,30100,30100,"Lebanon, NH-VT",M2,"Lebanon, NH",43.7857256,-72.1591415
276,30140,30140,"Lebanon, PA",M1,Lebanon,40.3714482,-76.4648185
NA,30300,30300,"Lewiston, ID-WA",M1,"Lewiston, ID",46.2516957,-116.9250166
438,30340,30340,"Lewiston-Auburn, ME",M1,Lewiston,44.1676811,-70.2074347
NA,30420,30420,"Lexington, NE",M2,Lexington,40.7568158,-99.8219783
336,30460,30460,"Lexington-Fayette, KY",M1,Lexington,38.1028763,-84.4385451
NA,30580,30580,"Liberal, KS",M2,Liberal,37.1809599,-100.8552566
339,30700,30700,"Lincoln, NE",M1,Lincoln,40.8174581,-96.8687434
340,30780,30780,"Little Rock-North Little Rock-Conway, AR",M1,Little Rock,34.7557726,-92.4005889
NA,30860,30860,"Logan, UT-ID",M1,"Logan, UT",41.8890205,-111.7874375
NA,30980,30980,"Longview, TX",M1,Longview,32.4316457,-94.6848326
