usaf,wban,query,lat,lon,timezone_offset,timezone,country_iso,country,country_code,state,postcode,city
726375,94817,"42.666,-83.4175",42.666,-83.4175,-18000,EST,US,United States of America,us,Michigan,48327,NA
726375,99999,"42.666,-83.4175",42.666,-83.4175,-18000,EST,US,United States of America,us,Michigan,48327,NA
77490,NA,"42.517,3.133",42.517,3.133,NA,NA,FR,France,fr,Occitania,66660,NA
704890,25616,"53.8975,-166.5465",53.8975,-166.5465,-32400,AKST,US,United States of America,us,Alaska,99692,Unalaska
704890,99999,"53.8975,-166.5465",53.8975,-166.5465,-32400,AKST,US,United States of America,us,Alaska,99692,Unalaska
321530,99999,"46.85,143.433",46.85,143.433,NA,NA,RU,Russia,ru,Sakhalin Oblast,NA,NA
969370,99999,"-7.217,113.717",-7.217,113.717,NA,NA,ID,Indonesia,id,East Java,NA,NA
163330,99999,"40.233,18.133",40.233,18.133,3600,CET,IT,Italy,it,Apulia,NA,NA
838110,99999,"-24.4,-50.833",-24.4,-50.833,-10800,-3,BR,Brazil,br,Paraná,NA,NA
690186,99999,"2.567,-72.633",2.567,-72.633,-18000,-5,CO,Colombia,co,Guaviare,5929,San José del Guaviare
483009,99999,"19.3,100.867",19.3,100.867,25200,ICT,TH,Thailand,th,Nan Province,NA,NA
725467,4973,"40.7505,-95.415",40.7505,-95.41499999999999,-21600,CST,US,United States of America,us,Iowa,NA,NA
725467,99999,"40.7505,-95.415",40.7505,-95.41499999999999,-21600,CST,US,United States of America,us,Iowa,NA,NA
654360,99999,"5.2,-0.933",5.2,-0.933,0,GMT,GH,Ghana,gh,Central Region,NA,NA
111100,99999,"47.133,10.233",47.133,10.233,3600,CET,AT,Austria,at,Vorarlberg,6754,NA
997598,99999,"36.8,152.6",36.8,152.6,NA,NA,NA,NA,NA,NA,NA,NA
479300,99999,"26.196,127.646",26.196,127.646,32400,JST,JP,Japan,jp,Okinawa Prefecture,901-0154,Naha
21020,NA,"65.1,14.517",65.1,14.517,3600,CET,SE,Sweden,se,Västerbottens län,NA,NA
723783,3195,"35.948,-112.144",35.948,-112.144,-25200,MST,US,United States of America,us,Arizona,NA,NA
723783,99999,"35.948,-112.144",35.948,-112.144,-25200,MST,US,United States of America,us,Arizona,NA,NA
74700,NA,"45.05,3.9",45.05,3.9,3600,CET,FR,France,fr,Auvergne,43000,NA
113180,99999,"46.917,10.867",46.917,10.867,3600,CET,AT,Austria,at,Tyrol,6481,NA
043010,99999,"83.65,-33.367",83.65,-33.367,NA,NA,GL,Greenland,gl,NA,NA,NA
722296,99999,"28.5,-91.2",28.5,-91.2,-21600,CST,US,United States of America,us,Louisiana,NA,NA
306570,99999,"53.283,112.783",53.283,112.783,28800,8,RU,Russia,ru,Buryatia,671543,Витимское сельское поселение
647570,99999,"17.167,21.55",17.167,21.55,3600,WAT,TD,Chad,td,Ennedi-Ouest,NA,NA
282640,99999,"58.05,65.35",58.05,65.35,18000,5,RU,Russia,ru,Sverdlovsk Oblast,623955,NA
