GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",138494,138464,138856,140881,142071,143887,146556,149414,153144,157637
310M300US17700,17700,"Coffeyville, KS Micro Area",35471,35468,35353,34778,34476,34442,34067,33384,32867,32556
310M300US17740,17740,"Coldwater, MI Micro Area",45248,45248,45179,43913,43769,43554,43690,43604,43457,43410
310M300US17780,17780,"College Station-Bryan, TX Metro Area",228660,228668,229449,231451,234126,237820,242533,250138,254230,258044
310M300US17820,17820,"Colorado Springs, CO Metro Area",645613,645615,650299,659959,668271,677296,685223,695830,710746,723878
310M300US17860,17860,"Columbia, MO Metro Area",162642,162643,163168,166019,168674,170937,172787,174395,176555,178271
310M300US17900,17900,"Columbia, SC Metro Area",767598,767476,769685,776454,783462,791164,799106,809147,817443,825033
310M300US17980,17980,"Columbus, GA-AL Metro Area",294865,295531,296507,302453,310072,315784,313038,310545,306712,303811
310M300US18020,18020,"Columbus, IN Metro Area",76794,76786,76809,77579,78914,79572,80350,81286,81873,82040
310M300US18060,18060,"Columbus, MS Micro Area",59779,59779,59795,59591,59595,59791,59779,59574,59460,59186
310M300US18100,18100,"Columbus, NE Micro Area",32237,32237,32305,32522,32693,32630,32759,32864,32946,33175
310M300US18140,18140,"Columbus, OH Metro Area",1901974,1902001,1906365,1926142,1946644,1971120,1998460,2023198,2046977,2078725
310M300US18180,18180,"Concord, NH Micro Area",146445,146447,146379,146704,146762,147058,147542,147843,148133,149216
310M300US18220,18220,"Connersville, IN Micro Area",24277,24302,24327,24150,23950,23829,23443,23391,23257,23209
310M300US18260,18260,"Cookeville, TN Micro Area",106042,106063,106286,106709,107171,107531,108381,108688,109703,111363
310M300US18300,18300,"Coos Bay, OR Micro Area",63043,63043,63000,62730,62634,62348,62333,62662,63375,63888
310M300US18380,18380,"Cordele, GA Micro Area",23439,23439,23438,23761,23598,23316,23076,22962,22935,22736
310M300US18420,18420,"Corinth, MS Micro Area",37057,37057,37103,37269,37201,37274,37235,37250,37240,37210
310M300US18460,18460,"Cornelia, GA Micro Area",43041,43041,43068,43066,43419,43206,43620,43819,44177,44567
310M300US18500,18500,"Corning, NY Micro Area",98990,98986,99011,99156,98948,98881,98208,97495,96830,96281
310M300US18580,18580,"Corpus Christi, TX Metro Area",428185,428188,427872,430908,436575,442812,447671,452355,454066,454008
310M300US18620,18620,"Corsicana, TX Micro Area",47735,47840,47869,48053,48138,48029,47918,48170,48375,48701
310M300US18660,18660,"Cortland, NY Micro Area",49336,49285,49277,49373,49024,48912,48742,48294,47934,47786
310M300US18700,18700,"Corvallis, OR Metro Area",85579,85592,85561,85976,86368,85934,86956,88106,89296,90951
310M300US18740,18740,"Coshocton, OH Micro Area",36901,36898,36936,36925,36820,36718,36526,36579,36644,36544
310M300US18780,18780,"Craig, CO Micro Area",13795,13795,13798,13412,13159,13115,12931,12940,13161,13131
310M300US18820,18820,"Crawfordsville, IN Micro Area",38124,38121,38097,38335,38175,38133,38161,38298,38323,38525
310M300US18860,18860,"Crescent City, CA Micro Area",28610,28610,28566,28447,28203,27830,27206,27253,27450,27470
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,235927,238668,246972,251914,255831,260796,265355,271346
310M300US18900,18900,"Crossville, TN Micro Area",56053,56062,56197,56522,56894,57322,57836,58122,58532,59078
310M300US18980,18980,"Cullman, AL Micro Area",80406,80410,80466,80411,80275,80674,81041,81721,82322,82755
310M300US19000,19000,"Cullowhee, NC Micro Area",40271,40276,40370,40274,40679,41055,40989,41338,42268,42973
310M300US19060,19060,"Cumberland, MD-WV Metro Area",103299,103261,103161,102615,101821,101268,100576,99864,99516,98837
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426231,6451833,6571537,6706020,6817243,6950715,7101031,7253424,7399662
310M300US19140,19140,"Dalton, GA Metro Area",142227,142227,142315,142466,142528,142233,142767,143523,144074,144440
310M300US19180,19180,"Danville, IL Metro Area",81625,81625,81639,81399,80823,80578,79800,79187,78560,77909
310M300US19220,19220,"Danville, KY Micro Area",53174,53170,53383,53497,53402,54037,54207,54074,54234,54380
310M300US19260,19260,"Danville, VA Micro Area",106561,106550,106511,105901,105608,105191,104613,103897,103316,102388
310M300US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183110,186534,190048,194736,199064,202863,207509,212628
