"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00316001","1950","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","132","0","83","0","","","","","","","","","","","","","","","","","","","","","65.5",",0,0312,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1494.2",",0","","","","","","","","","5603","0"
"USC00316001","1951","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","141","0","95","0","","","","","","","","","","","","","","","","","","","","","94.5",",0,0328,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1618.1",",0","","","","","","","","","",""
"USC00316001","1952","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","125","0","80","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","60.7",",0,0311,","","","1073.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1383.9",",0","0",",0","","","","","","","",""
"USC00316001","1953","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","121","0","94","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","48.5",",0,0221,","","","1100.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1347.1",",0","0",",0","","","","","","","5532","0"
"USC00316001","1954","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","119","0","82","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","89.7",",0,0116,","","","1062.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1425.6",",0","0",",0","","","","","","","26030","0"
"USC00316001","1955","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","135","0","104","0","","","","","","","","","","","","","","","","","","","","","86.9",",0,1008,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1413.2",",0","","","","","","","","","2636","0"
"USC00316001","1956","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","128","0","92","0","","","","","","","","","","","","","","","","","","","","","69.3",",0,0416,","","","984.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1321.7",",0","","","","","","","","","3754","0"
"USC00316001","1957","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","144","0","104","0","","","","","","","","","","","","","","","","","","","","","101.9",",0,0405,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1581.5",",0","","","","","","","","","",""
"USC00316001","1958","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","125","0","91","0","","","","","","","","","","","","","","","","","","","","","78.5",",0,0709,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280.2",",0","","","","","","","","","3921","0"
"USC00316001","1959","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","144","0","89","0","","","","","","","","","","","","","","","","","","","","","67.6",",0,0528,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1354.6",",0","","","","","","","","","4373","0"
