"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00023271","1921","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","594.1","","594.1","0","52","0","33","0","","","","","0","0","8","0","0","0","192","0","56","0","-1.1","0,0111,","","","","","48.3",",0,0117,","41.1","0,0707,","0.0","0,1118","","","","","","","-1.1","0,0111","","","","","","","1666.4","","1666.4","0","342.7",",0","","","15.95","0","22.43","0","9.46","0"
"USW00023271","1922","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","684.2","","684.2","0","72","0","40","0","","","","","0","0","16","0","0","0","179","0","65","0","-3.3","0,0121,+","","","","","31.2",",0,1106,","41.1","0,0715,","-1.1","0,1204","","","","","","","-0.6","0,0202","-2.2","0,0122","","","","","1650.7","","1650.7","0","466.0",",0","","","15.33","0","21.38","0","9.28","0"
"USW00023271","1923","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","522.1","","522.1","0","46","0","22","0","","","","","0","0","5","0","0","0","214","0","48","0","-1.7","0,0202,","","","","","21.8",",0,0122,","42.2","0,0727,","0.0","0,1211","","","","","","","-1.7","0,0202","","","","","","","1585.7","","1585.7","0","215.5",",0","","","15.73","0","22.12","0","9.33","0"
"USW00023271","1925","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","491.6","","491.6","0","56","0","30","0","","","","","0","0","2","0","0","0","191","0","45","0","-1.7","0,0109,","","","","","25.7",",0,1201,","45.6","0,0717,","","","","","","","","","-1.1","0,0117","","","","","","","1594.4","","1594.4","0","331.9",",0","","","15.65","0","21.64","0","9.66","0"
"USW00023271","1926","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","665.3","","665.3","0","50","0","33","0","","","","","0","0","12","0","0","0","225","0","60","0","-2.8","0,1226,","","","","","40.9",",0,0213,","42.8","0,0715,","-0.6","0,1224","-2.8","0,1226","","","","","0.0","0,0118","-2.2","0,0115","","","","","1364.4","","1364.4","0","522.9",",0","","","16.72","0","23.10","0","10.33","0"
"USW00023271","1927","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1381.1","","1381.1","0","","","","","","","","","",""
"USW00023271","1928","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","607.8","","607.8","0","51","0","24","0","","","","","0","0","12","0","1","0","192","0","74","0","-3.9","0,1222,","","","","","33.8",",0,1113,","39.4","0,0809,+","0.0","0,1215","-2.2","0,1217","","","","","-1.1","0,0118","","","","","","","","","","","319.6",",0","","","15.93","0","22.49","0","9.37","0"
"USW00023271","1929","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","","","","","36","0","19","0","","","","","0","0","17","0","","","","","","","-2.2","0,0208,","","","","","39.6",",0,1215,","","","0.0","0,1201","","","","","","","-1.7","0,0210","-2.2","0,0208","","","","","1711.5","","1711.5","0","223.7",",0","","","","","","","8.88","0"
"USW00023271","1930","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","466.1","","466.1","0","55","0","34","0","","","","","0","0","21","0","0","0","207","0","49","0","-3.3","0,1228,","","","","","28.2",",0,0305,","41.1","0,0714,","0.0","0,1207","-2.2","0,1223","","","","","-2.2","0,0113","-2.2","0,0113","","","","","","","","","301.3",",0","","","15.59","0","22.45","0","8.74","0"
"USW00023271","1931","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","687.2","","687.2","0","55","0","27","0","","","","","0","0","9","0","0","0","222","0","69","0","-2.2","0,1123,","","","","","49.8",",0,1227,","42.8","0,0704,","0.0","0,1122","-2.2","0,1123","","","","","-0.6","0,0112","","","","","","","1253.9","","1253.9","0","363.9",",0","","","16.52","0","23.34","0","9.69","0"
